Sort;URL;Original title;S;Creator(s);Genres;Start;End;Media;Storage;Video;E;Mins;Hours;Added;comment
Doctor Who (2005);Cal.;Doctor Who (2005);1;;Adventure | Drama | Sci-Fi;2005;2005;Downloaded;2 Burned DVDs;DVDrip;13;45;9,75;;2005 reimaging/continuation of the old doctor who series
Grey's Anatomy;Cal.;Grey's Anatomy;1;Shonda Rhimes;Comedy | Drama | Romance;2005;2005;DVD;;;9;43;6,45;;
Kôkaku kidôtai: Stand Alone Complex;Cal.;Kôkaku kidôtai: Stand Alone Complex;2;Kenji Kamiyama/Masamune Shirow;Animation | Action | Crime | Sci-Fi | Thriller;2004;2005;Downloaded;external #1;HD 720P;26;25;10,83;;
Lost;Cal.;Lost;1;Jeffrey Lieber, Damon Lindelof, J. J. Abrams;Adventure | Drama | Fantasy | Mystery | Thriller;2004;2005;Downloaded;DELETED;Pretty good;24;43;17,20;;
Scrubs;Cal.;Scrubs;4;Bill Lawrence;Comedy | Drama;2004;2005;Downloaded;DELETED;Decent;25;22;9,17;;
South Park;Cal.;South Park;9;Trey Parker, Matt Stone;Animation | Comedy;2005;2005;Downloaded;external #1;decent (varying size);14;22;5,13;;
Star Wars: Clone Wars Volume II;Cal.;Star Wars: Clone Wars Volume II;3;Genndy Tartakovsky;Action | Fantasy | Sci-Fi | Animation | Short | Adventure;2005;2005;DVD;;;5;12;1,00;;Season 3
West Wing;Cal.;The West Wing;6;Aaron Sorkin;Drama;2004;2005;Downloaded;T:\TV\;DVDrip;22;42;15,40;;
Veronica Mars;Cal.;Veronica Mars;1;Rob Thomas;Drama | Crime | Mystery;2004;2005;Downloaded;external #1;xvid .avi ~624x352;22;42;15,40;;
24;Cal.;24;5;Robert Cochran, Joel Surnow;Action | Crime | Drama | Mystery | Thriller;2006;2006;DVD;;;24;43;17,20;;
Alias;Cal.;Alias;5;J.J. Abrams;Action | Adventure | Drama | Mystery | Sci-Fi | Thriller;2005;2006;Downloaded;external #1;Pretty good;17;42;11,90;;
Battlestar Galactica;Cal.;Battlestar Galactica;2;Glen A. Larson, Ronald D. Moore;Action | Adventure | Drama | Sci-Fi;2005;2006;DVD;;;20;42;14,00;;reimaging of series from 1978
Deadwood;Cal.;Deadwood;3;David Milch;Adventure | Crime | Drama | History | Western;2006;2006;Downloaded;DELETED;;12;55;11,00;;subtitle files
Dexter;Cal.;Dexter;1;James Manos, Jr.;Crime | Drama | Mystery | Thriller;2006;2006;Downloaded;3 burned DVDs;HD 720P;12;50;10,00;;
Doctor Who (2005);Cal.;Doctor Who (2005);2;;Adventure | Drama | Sci-Fi;2006;2006;Downloaded;2 Burned DVDs;DVDrip;13;45;9,75;;2005 reimaging/continuation of the old doctor who series
Ergo Proxy;Cal.;Ergo Proxy;1;Shukō Murase/Dai Satō/Manglobe;Animation | Adventure | Crime | Mystery | Sci-Fi;2006;2006;Downloaded;external #1;HD 720P;23;26;9,97;;
Grey's Anatomy;Cal.;Grey's Anatomy;2;Shonda Rhimes;Comedy | Drama | Romance;2005;2006;Downloaded;DELETED;Decent;27;43;19,35;;
Lost;Cal.;Lost;2;Jeffrey Lieber, Damon Lindelof, J. J. Abrams;Adventure | Drama | Fantasy | Mystery | Thriller;2005;2006;Downloaded;DELETED;Pretty good;23;43;16,48;;
Planet Earth;Cal.;Planet Earth;1;BBC;Documentary;2006;2006;Downloaded;DELETED;HD 720P;11;50;9,17;;ESiR encodes, HDDVD source
Prison Break;Cal.;Prison Break;1;Paul Scheuring;Adventure | Crime | Drama | Thriller;2005;2006;Downloaded;DELETED;Decent;22;40;14,67;;
Scrubs;Cal.;Scrubs;5;Bill Lawrence;Comedy | Drama;2006;2006;Downloaded;DELETED;Decent;24;22;8,80;;
South Park;Cal.;South Park;10;Trey Parker, Matt Stone;Animation | Comedy;2006;2006;Downloaded;external #1;decent (varying size);14;22;5,13;;
West Wing;Cal.;The West Wing;7;Aaron Sorkin;Drama;2005;2006;Downloaded;T:\TV\;DVDrip;22;42;15,40;;
Veronica Mars;Cal.;Veronica Mars;2;Rob Thomas;Drama | Crime | Mystery;2005;2006;Downloaded;external #1;xvid .avi ~624x352;22;42;15,40;;
Wire;Cal.;The Wire;4;David Simon;Crime | Drama;2006;2006;Downloaded;external #1;Decent;13;55;11,92;;dvdrip and subtitles from tvtorrents.com 
24;Cal.;24;6;Robert Cochran, Joel Surnow;Action | Crime | Drama | Mystery | Thriller;2007;2007;Downloaded;DELETED;(very) Good;24;43;17,20;;last episodes 720P HD h.264
30 Rock;Cal.;30 Rock;1;Tina Fey;Comedy;2006;2007;Downloaded;DELETED;DVDrip;21;21;7,35;;
Battlestar Galactica;Cal.;Battlestar Galactica;3;Glen A. Larson, Ronald D. Moore;Action | Adventure | Drama | Sci-Fi;2006;2007;Downloaded;DELETED;~ Decent;20;42;14,00;;reimaging of series from 1978
Day Break;Cal.;Day Break;1;Paul Zbyszewski;Action | Drama | Thriller;2006;2007;Downloaded;DELETED;HD 720P;13;42;9,10;;
Dexter;Cal.;Dexter;2;;Crime | Drama | Mystery | Thriller;2007;2007;Downloaded;4 burned DVDs;HD 720P;12;50;10,00;;
Doctor Who (2005);Cal.;Doctor Who (2005);3;;Adventure | Drama | Sci-Fi;2007;2007;Downloaded;2 Burned DVDs;pdvtv h264-mp3-mkv;13;45;9,75;;2005 reimaging/continuation of the old doctor who series
Friday Night Lights;Cal.;Friday Night Lights;1;Peter Berg, Brian Grazer and David Nevins;Drama | Sport;2006;2007;Downloaded;T:\TV\;HD 720P;22;43;15,77;;web-dl
Grey's Anatomy;Cal.;Grey's Anatomy;3;Shonda Rhimes;Comedy | Drama | Romance;2006;2007;Downloaded;DELETED;Decent;25;43;17,92;;
Heroes;Cal.;Heroes;2;Tim Kring;Drama | Sci-Fi;2007;2007;Downloaded;DELETED;HD 720P;11;42;7,70;;
Heroes;Cal.;Heroes;1;Tim Kring;Drama | Sci-Fi;2006;2007;Downloaded;DELETED;Pretty good;23;42;16,10;;last episodes 720P HD h.264
Jericho;Cal.;Jericho;1;;Drama | Sci-Fi;2006;2007;Downloaded;DELETED;;22;43;15,77;;
Journeyman;Cal.;Journeyman;1;Kevin Falls;Fantasy | Romance | Sci-Fi;2007;2007;Downloaded;4 Burned DVDs;HD 720P;13;42;9,10;;
Lost;Cal.;Lost;3;Jeffrey Lieber, Damon Lindelof, J. J. Abrams;Adventure | Drama | Fantasy | Mystery | Thriller;2006;2007;Downloaded;DELETED;Pretty good;22;43;15,77;;last episodes 720P HD h.264
Mad Men;Cal.;Mad Men;1;Matthew Weiner;Drama;2007;2007;Downloaded;DELETED;HD 720P;13;47;10,18;;
Prison Break;Cal.;Prison Break;2;Paul Scheuring;Adventure | Crime | Drama | Thriller;2006;2007;Downloaded;DELETED;Decent;22;40;14,67;;
Pushing Daisies;Cal.;Pushing Daisies;1;Bryan Fuller;Comedy | Drama | Fantasy | Mystery | Romance;2007;2007;Downloaded;DELETED;HD 720P;9;42;6,30;;
Scrubs;Cal.;Scrubs;6;Bill Lawrence;Comedy | Drama;2006;2007;Downloaded;DELETED;Decent;22;22;8,07;;
Sopranos, The;Cal.;Sopranos, The;6;David Chase;Crime | Drama | Thriller;2006;2007;Downloaded;DELETED;HD 720P;21;50;17,50;;
South Park;Cal.;South Park;11;Trey Parker, Matt Stone;Animation | Comedy;2007;2007;Downloaded;external #1;decent (varying size);14;22;5,13;;
Veronica Mars;Cal.;Veronica Mars;3;Rob Thomas;Drama | Crime | Mystery;2006;2007;Downloaded;external #1;xvid .avi ~624x352;20;42;14,00;;
30 Rock;Cal.;30 Rock;2;Tina Fey;Comedy;2007;2008;Downloaded;DELETED;HD 720P;15;21;5,25;;
Breaking Bad;Cal.;Breaking Bad;1;Vince Gilligan;Crime | Drama;2008;2008;Downloaded;DELETED;HD 720P;7;47;5,48;;
Childrens Hospital;Cal.;Childrens Hospital;1;Rob Corddry;Short | Comedy;2008;2008;Downloaded;DELETED;HD 720P;5;11;0,92;;
Chuck;Cal.;Chuck;1;Josh Schwartz/Chris Fedak;Comedy | Action | Drama;2007;2008;Downloaded;DELETED;HD 720P;13;42;9,10;;
Dexter;Cal.;Dexter;3;;Crime | Drama | Mystery | Thriller;2008;2008;Downloaded;DELETED;HD 720P;12;50;10,00;;
Doctor Who (2005);Cal.;Doctor Who (2005);4;;Adventure | Drama | Sci-Fi;2008;2008;Downloaded;2 Burned DVDs;SDTV;13;45;9,75;;2005 reimaging/continuation of the old doctor who series
Friday Night Lights;Cal.;Friday Night Lights;2;Peter Berg, Brian Grazer and David Nevins;Drama | Sport;2007;2008;Downloaded;T:\TV\;HD 720P;15;43;10,75;;web-dl
Generation Kill;Cal.;Generation Kill;1;David Simon, Ed Burns;Drama | War;2008;2008;Downloaded;external #1;Decent;7;68;7,93;;miniseries
Grey's Anatomy;Cal.;Grey's Anatomy;4;Shonda Rhimes;Comedy | Drama | Romance;2007;2008;Downloaded;DELETED;HD 720P;17;43;12,18;;
Jericho;Cal.;Jericho;2;;Drama | Sci-Fi;2008;2008;Downloaded;DELETED;HD 720P;7;43;5,02;;
Lost;Cal.;Lost;4;Jeffrey Lieber, Damon Lindelof, J. J. Abrams;Adventure | Drama | Fantasy | Mystery | Thriller;2008;2008;Downloaded;DELETED;HD 720P;14;43;10,03;;
Mad Men;Cal.;Mad Men;2;Matthew Weiner;Drama;2008;2008;Downloaded;DELETED;HD 720P;13;47;10,18;;
Prison Break;Cal.;Prison Break;3;Paul Scheuring;Adventure | Crime | Drama | Thriller;2007;2008;Downloaded;DELETED;HD 720P;13;40;8,67;;
Scrubs;Cal.;Scrubs;7;Bill Lawrence;Comedy | Drama;2007;2008;Downloaded;DELETED;Decent;11;22;4,03;;
South Park;Cal.;South Park;12;Trey Parker, Matt Stone;Animation | Comedy;2008;2008;Downloaded;external #1;decent (varying size);14;22;5,13;;
Terminator: The Sarah Connor Chronicles;Cal.;Terminator: The Sarah Connor Chronicles;1;Josh Friedman;Action | Drama | Fantasy | Sci-Fi | Thriller;2008;2008;Downloaded;3 Burned DVDs;HD 720P;9;43;6,45;;
True Blood;Cal.;True Blood;1;Alan Ball;Drama | Fantasy | Horror;2008;2008;Downloaded;DELETED;HD 720P;12;55;11,00;;
Wire;Cal.;The Wire;5;David Simon;Crime | Drama;2008;2008;Downloaded;external #1;Decent;10;55;9,17;;
24;Cal.;24;7;Robert Cochran, Joel Surnow;Action | Crime | Drama | Mystery | Thriller;2009;2009;Downloaded;DELETED;HD 720P;24;43;17,20;;
30 Rock;Cal.;30 Rock;3;Tina Fey;Comedy;2008;2009;Downloaded;DELETED;HD 720P;22;21;7,70;;
Battlestar Galactica;Cal.;Battlestar Galactica;4;Glen A. Larson, Ronald D. Moore;Action | Adventure | Drama | Sci-Fi;2008;2009;Downloaded;DELETED;HD 720P;20;42;14,00;;reimaging of series from 1978
Breaking Bad;Cal.;Breaking Bad;2;Vince Gilligan;Crime | Drama;2009;2009;Downloaded;DELETED;HD 720P;13;47;10,18;;
Chuck;Cal.;Chuck;2;Josh Schwartz/Chris Fedak;Comedy | Action | Drama;2008;2009;Downloaded;DELETED;HD 720P;22;42;15,40;;
Dexter;Cal.;Dexter;4;;Crime | Drama | Mystery | Thriller;2009;2009;Downloaded;DELETED;HD 720P;12;50;10,00;;
Dollhouse;Cal.;Dollhouse;1;Joss Whedon;Drama | Sci-Fi | Thriller;2009;2009;Downloaded;external #1;HD 720P;13;48;10,40;;"12 aired + Epitaph One + (not counted) unaired ""Echo"" pilot"
Free Agents;Cal.;Free Agents;1;Chris Niel;Comedy | Drama;2009;2009;Downloaded;DELETED;HD 720P;6;22;2,20;;
Friday Night Lights;Cal.;Friday Night Lights;3;Peter Berg, Brian Grazer and David Nevins;Drama | Sport;2008;2009;Downloaded;T:\TV\;HD 720P;13;43;9,32;;web-dl
Fringe;Cal.;Fringe;1;J. J. Abrams / Roberto Orci / Alex Kurtzman;Drama | Horror | Mystery | Sci-Fi | Thriller;2008;2009;Downloaded;DELETED;HD 720P;20;50;16,67;;
Grey's Anatomy;Cal.;Grey's Anatomy;5;Shonda Rhimes;Comedy | Drama | Romance;2008;2009;Downloaded;DELETED;HD 720P;24;43;17,20;;
Heroes;Cal.;Heroes;3;Tim Kring;Drama | Sci-Fi;2008;2009;Downloaded;DELETED;HD 720P;25;43;17,92;;
Kings;Cal.;Kings;1;Michael Green;Drama;2009;2009;Downloaded;DELETED;HD 720P;13;43;9,32;;
Lost;Cal.;Lost;5;Jeffrey Lieber, Damon Lindelof, J. J. Abrams;Adventure | Drama | Fantasy | Mystery | Thriller;2009;2009;Downloaded;DELETED;HD 720P;17;43;12,18;;
Mad Men;Cal.;Mad Men;3;Matthew Weiner;Drama;2009;2009;Downloaded;DELETED;HD 720P;13;47;10,18;;
Misfits;Cal.;Misfits;1;Howard Overman;Comedy | Drama | Fantasy | Sci-Fi;2009;2009;Downloaded;DELETED;HD 720P (Blu-ray);6;45;4,50;;
Parks and Recreation;Cal.;Parks and Recreation;1;Greg Daniels/Michael Schur;Comedy;2009;2009;Downloaded;DELETED;HD 720P;6;22;2,20;;
Party Down;Cal.;Party Down;1;John Enbom, Rob Thomas, Dan Etheridge, Paul Rudd;Comedy;2009;2009;Downloaded;external #1;HD 720P;10;28;4,67;;
Pushing Daisies;Cal.;Pushing Daisies;2;Bryan Fuller;Comedy | Drama | Fantasy | Mystery | Romance;2008;2009;Downloaded;DELETED;HD 720P;13;42;9,10;;
Scrubs;Cal.;Scrubs;8;Bill Lawrence;Comedy | Drama;2009;2009;Downloaded;DELETED;HD 720P;18;22;6,60;;
South Park;Cal.;South Park;13;Trey Parker, Matt Stone;Animation | Comedy;2009;2009;Downloaded;external #1;HD 720P;14;22;5,13;;
Star Wars: The Clone Wars;Cal.;Star Wars: The Clone Wars;1;George Lucas / Lucasfilm Animation;Animation | Action | Adventure | Drama | Fantasy | Sci-Fi;2008;2009;Downloaded;DELETED;HD 720P;22;22;8,07;;
